,Pairs,source,target,Reaction
2928,C00003_C00004,C00003,C00004,R00710
2929,C00003_C00080,C00003,C00080,R00710
2930,C00001_C00033,C00001,C00033,R00710
2931,C00001_C00004,C00001,C00004,R00710
2932,C00001_C00080,C00001,C00080,R00710
2933,C00084_C00033,C00084,C00033,R00711
2934,C00084_C00005,C00084,C00005,R00711
2935,C00084_C00080,C00084,C00080,R00711
2936,C00006_C00033,C00006,C00033,R00711
2937,C00006_C00005,C00006,C00005,R00711
2938,C00006_C00080,C00006,C00080,R00711
2939,C00001_C00033,C00001,C00033,R00711
2940,C00001_C00005,C00001,C00005,R00711
2941,C00001_C00080,C00001,C00080,R00711
2942,C00232_C00042,C00232,C00042,R00713
2943,C00232_C00004,C00232,C00004,R00713
2944,C00232_C00080,C00232,C00080,R00713
2945,C00003_C00042,C00003,C00042,R00713
2946,C00003_C00004,C00003,C00004,R00713
2947,C00003_C00080,C00003,C00080,R00713
2948,C00001_C00042,C00001,C00042,R00713
2949,C00001_C00004,C00001,C00004,R00713
2950,C00001_C00080,C00001,C00080,R00713
2951,C00232_C00042,C00232,C00042,R00714
2952,C00232_C00005,C00232,C00005,R00714
2953,C00232_C00080,C00232,C00080,R00714
2954,C00006_C00042,C00006,C00042,R00714
2955,C00006_C00005,C00006,C00005,R00714
2956,C00006_C00080,C00006,C00080,R00714
2957,C00001_C00042,C00001,C00042,R00714
2958,C00001_C00005,C00001,C00005,R00714
2959,C00001_C00080,C00001,C00080,R00714
2960,C00449_C00047,C00449,C00047,R00715
2961,C00449_C00026,C00449,C00026,R00715
2962,C00449_C00004,C00449,C00004,R00715
2963,C00449_C00080,C00449,C00080,R00715
2964,C00003_C00047,C00003,C00047,R00715
2965,C00003_C00026,C00003,C00026,R00715
2966,C00003_C00004,C00003,C00004,R00715
2967,C00003_C00080,C00003,C00080,R00715
2968,C00001_C00047,C00001,C00047,R00715
2969,C00001_C00026,C00001,C00026,R00715
2970,C00001_C00004,C00001,C00004,R00715
2971,C00001_C00080,C00001,C00080,R00715
2972,C00449_C00047,C00449,C00047,R00716
2973,C00449_C00026,C00449,C00026,R00716
2974,C00449_C00005,C00449,C00005,R00716
2975,C00449_C00080,C00449,C00080,R00716
2976,C00006_C00047,C00006,C00047,R00716
2977,C00006_C00026,C00006,C00026,R00716
2978,C00006_C00005,C00006,C00005,R00716
2979,C00006_C00080,C00006,C00080,R00716
2980,C00001_C00047,C00001,C00047,R00716
2981,C00001_C00026,C00001,C00026,R00716
2982,C00001_C00005,C00001,C00005,R00716
2983,C00001_C00080,C00001,C00080,R00716
2984,C00160_C00048,C00160,C00048,R00717
2985,C00160_C00004,C00160,C00004,R00717
2986,C00160_C00080,C00160,C00080,R00717
2987,C00003_C00048,C00003,C00048,R00717
2988,C00003_C00004,C00003,C00004,R00717
2989,C00003_C00080,C00003,C00080,R00717
2990,C00081_C00104,C00081,C00104,R00719
2991,C00081_C00009,C00081,C00009,R00719
2992,C00001_C00104,C00001,C00104,R00719
2993,C00001_C00009,C00001,C00009,R00719
2994,C00081_C00130,C00081,C00130,R00720
2995,C00081_C00013,C00081,C00013,R00720
2996,C00001_C00130,C00001,C00130,R00720
2997,C00001_C00013,C00001,C00013,R00720
2998,C00002_C00008,C00002,C00008,R00722
2999,C00002_C00081,C00002,C00081,R00722
3000,C00104_C00008,C00104,C00008,R00722
3001,C00104_C00081,C00104,C00081,R00722
3002,C03614_C00081,C03614,C00081,R00723
3003,C03614_C00009,C03614,C00009,R00723
3004,C00001_C00081,C00001,C00081,R00723
3005,C00001_C00009,C00001,C00009,R00723
3006,C00081_C00104,C00081,C00104,R00724
3007,C00081_C00074,C00081,C00074,R00724
3008,C00022_C00104,C00022,C00104,R00724
3009,C00022_C00074,C00022,C00074,R00724
3010,C00081_C00104,C00081,C00104,R00725
3011,C00081_C00092,C00081,C00092,R00725
3012,C00031_C00104,C00031,C00104,R00725
3013,C00031_C00092,C00031,C00092,R00725
3014,C00081_C00104,C00081,C00104,R00726
3015,C00081_C00074,C00081,C00074,R00726
3016,C00081_C00011,C00081,C00011,R00726
3017,C00036_C00104,C00036,C00104,R00726
3018,C00036_C00074,C00036,C00074,R00726
3019,C00036_C00011,C00036,C00011,R00726
3020,C00081_C00104,C00081,C00104,R00727
3021,C00081_C00009,C00081,C00009,R00727
3022,C00081_C00091,C00081,C00091,R00727
3023,C00042_C00104,C00042,C00104,R00727
3024,C00042_C00009,C00042,C00009,R00727
3025,C00042_C00091,C00042,C00091,R00727
3026,C00010_C00104,C00010,C00104,R00727
3027,C00010_C00009,C00010,C00009,R00727
3028,C00010_C00091,C00010,C00091,R00727
3029,C00082_C00146,C00082,C00146,R00728
3030,C00082_C00022,C00082,C00022,R00728
3031,C00082_C00014,C00082,C00014,R00728
3032,C00001_C00146,C00001,C00146,R00728
3033,C00001_C00022,C00001,C00022,R00728
3034,C00001_C00014,C00001,C00014,R00728
3035,C00082_C01179,C00082,C01179,R00729
3036,C00082_C00014,C00082,C00014,R00729
3037,C00082_C00027,C00082,C00027,R00729
3038,C00001_C01179,C00001,C01179,R00729
3039,C00001_C00014,C00001,C00014,R00729
3040,C00001_C00027,C00001,C00027,R00729
3041,C00007_C01179,C00007,C01179,R00729
3042,C00007_C00014,C00007,C00014,R00729
3043,C00007_C00027,C00007,C00027,R00729
3044,C00082_C03004,C00082,C03004,R00730
3045,C00082_C03161,C00082,C03161,R00730
3046,C00082_C00001,C00082,C00001,R00730
3047,C00007_C03004,C00007,C03004,R00730
3048,C00007_C03161,C00007,C03161,R00730
3049,C00007_C00001,C00007,C00001,R00730
3050,C03024_C03004,C03024,C03004,R00730
3051,C03024_C03161,C03024,C03161,R00730
3052,C03024_C00001,C03024,C00001,R00730
3053,C00082_C00355,C00082,C00355,R00731
3054,C00082_C00001,C00082,C00001,R00731
3055,C00007_C00355,C00007,C00355,R00731
3056,C00007_C00001,C00007,C00001,R00731
3057,C00826_C00082,C00826,C00082,R00732
3058,C00826_C00011,C00826,C00011,R00732
3059,C00826_C00004,C00826,C00004,R00732
3060,C00826_C00080,C00826,C00080,R00732
3061,C00003_C00082,C00003,C00082,R00732
3062,C00003_C00011,C00003,C00011,R00732
3063,C00003_C00004,C00003,C00004,R00732
3064,C00003_C00080,C00003,C00080,R00732
3065,C00826_C00082,C00826,C00082,R00733
3066,C00826_C00011,C00826,C00011,R00733
3067,C00826_C00005,C00826,C00005,R00733
3068,C00826_C00080,C00826,C00080,R00733
3069,C00006_C00082,C00006,C00082,R00733
3070,C00006_C00011,C00006,C00011,R00733
3071,C00006_C00005,C00006,C00005,R00733
3072,C00006_C00080,C00006,C00080,R00733
3073,C00082_C01179,C00082,C01179,R00734
3074,C00082_C00025,C00082,C00025,R00734
3075,C00026_C01179,C00026,C01179,R00734
3076,C00026_C00025,C00026,C00025,R00734
3077,C00002_C00020,C00002,C00020,R00735
3078,C00002_C00013,C00002,C00013,R00735
3079,C00002_C02993,C00002,C02993,R00735
3080,C00082_C00020,C00082,C00020,R00735
3081,C00082_C00013,C00082,C00013,R00735
3082,C00082_C02993,C00082,C02993,R00735
3083,C00062_C00020,C00062,C00020,R00735
3084,C00062_C00013,C00062,C00013,R00735
3085,C00062_C02993,C00062,C02993,R00735
3086,C00082_C00483,C00082,C00483,R00736
3087,C00082_C00011,C00082,C00011,R00736
3088,C00082_C00811,C00082,C00811,R00737
3089,C00082_C00014,C00082,C00014,R00737
3090,C00082_C04368,C00082,C04368,R00739
3091,C00222_C00083,C00222,C00083,R00740
3092,C00222_C00005,C00222,C00005,R00740
3093,C00222_C00080,C00222,C00080,R00740
3094,C00010_C00083,C00010,C00083,R00740
3095,C00010_C00005,C00010,C00005,R00740
3096,C00010_C00080,C00010,C00080,R00740
3097,C00006_C00083,C00006,C00083,R00740
3098,C00006_C00005,C00006,C00005,R00740
3099,C00006_C00080,C00006,C00080,R00740
3100,C00002_C00008,C00002,C00008,R00742
3101,C00002_C00009,C00002,C00009,R00742
3102,C00002_C00083,C00002,C00083,R00742
3103,C00024_C00008,C00024,C00008,R00742
3104,C00024_C00009,C00024,C00009,R00742
3105,C00024_C00083,C00024,C00083,R00742
3106,C00288_C00008,C00288,C00008,R00742
3107,C00288_C00009,C00288,C00009,R00742
3108,C00288_C00083,C00288,C00083,R00742
3109,C00080_C00008,C00080,C00008,R00742
3110,C00080_C00009,C00080,C00009,R00742
3111,C00080_C00083,C00080,C00083,R00742
3112,C00024_C00033,C00024,C00033,R00743
3113,C00024_C00083,C00024,C00083,R00743
3114,C00383_C00033,C00383,C00033,R00743
3115,C00383_C00083,C00383,C00083,R00743
3116,C00083_C05989,C00083,C05989,R00744
3117,C00083_C00006,C00083,C00006,R00744
3118,C00083_C00001,C00083,C00001,R00744
3119,C00005_C05989,C00005,C05989,R00744
3120,C00005_C00006,C00005,C00006,R00744
3121,C00005_C00001,C00005,C00001,R00744
3122,C00080_C05989,C00080,C05989,R00744
3123,C00080_C00006,C00080,C00006,R00744
3124,C00080_C00001,C00080,C00001,R00744
3125,C00469_C00084,C00469,C00084,R00746
3126,C00469_C00005,C00469,C00005,R00746
3127,C00469_C00080,C00469,C00080,R00746
3128,C00006_C00084,C00006,C00084,R00746
3129,C00006_C00005,C00006,C00005,R00746
3130,C00006_C00080,C00006,C00080,R00746
3131,C03167_C00084,C03167,C00084,R00747
3132,C03167_C00009,C03167,C00009,R00747
