,Entry,Names,Formula,Exact Mass,Mol Weight,SMILES,Local Total In/Out-Degree(0.1 - 1.0),Reactions,ChEBI,PubChem,Reference,N,P,X,Mn,W,S,B,R,Mo,H,Fe,Co,Ni,As,Mg,Na,Se,Br,Hg,C,Cl,O,I,F,polymer,mol_weight
7432,C20898,"[""Lipoteichoic acid"", ""(sn-Gro-1-P)n-&gt;6Glc-beta1-&gt;6Glc-beta1-&gt;3acyl2Gro""]",C17H26O15R2(C3H7O5P)n,"""""","""""",*C(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](O)CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)OC(*)=O,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[""R10863""]",[],"[""254741361""]","""""",0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,3,0,5,0,0,1,231.08399999999997
7433,C20899,"[""Furan-2,5-dicarbaldehyde"", ""2,5-Furandicarboxaldehyde""]",C6H4O3,124.016,124.0942,O=Cc1ccc(C=O)o1,"[[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]]","[""R10853"", ""R10854""]",[],"[""254741362""]","""""",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,124.092
7434,C20900,"[""5-(Dihydroxymethyl)furan-2-carbaldehyde""]",C6H6O4,142.0266,142.1094,O=Cc1ccc(C(O)O)o1,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[""R10854"", ""R10855""]",[],"[""254741363""]","""""",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,142.108
7435,C20901,"[""5-(Dihydroxymethyl)furan-2-carboxylate""]",C6H6O5,158.0215,158.1088,O=C(O)c1ccc(C(O)O)o1,"[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[""R10856"", ""R10857""]",[],"[""254741364""]","""""",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,158.108
7436,C20902,"[""3,6-Anhydro-alpha-L-galactopyranose""]",C6H10O5,162.0528,162.1406,O[C@@H]1[C@H](O)O[C@H]2CO[C@@H]1[C@@H]2O,"[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[""R10861"", ""R10862""]",[],"[""254741365""]","""""",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,162.14
7437,C20903,"[""3,6-Anhydro-L-galactonate""]",C6H10O6,178.0477,178.14,O=C(O)[C@@H](O)[C@@H]1OC[C@H](O)[C@H]1O,"[[6, 6], [6, 6], [6, 6], [6, 6], [6, 6], [6, 6], [6, 6], [6, 6], [6, 6], [6, 6]]","[""R10861"", ""R10862"", ""R10900""]",[],"[""254741366""]","""""",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,178.14
7438,C20904,"[""2-Iminopropanoate""]",C3H5NO2,87.032,87.0773,CC(=N)C(=O)O,"[[145, 145], [160, 160], [176, 176], [196, 196], [202, 202], [206, 206], [207, 207], [207, 207], [208, 208], [208, 208]]","[""R11099"", ""R11100""]",[],"[""254741367""]","""""",1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,87.08
7439,C20905,"[""2-Iminobutanoate""]",C4H7NO2,101.0477,101.1039,CCC(=N)C(=O)O,"[[22, 22], [25, 25], [25, 25], [25, 25], [25, 25], [26, 26], [26, 26], [26, 26], [26, 26], [26, 26]]","[""R11098"", ""R11101""]",[],"[""254741368""]","""""",1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,101.106
7440,C20906,"[""Galactosylglucosyldiacylglycerol"", ""Gal-alpha1-&gt;2Glc-alpha1-&gt;3acyl2Gro"", ""1,2-Diacyl-3-O-[alpha-D-galactopyranosyl-(1-&gt;2)-O-alpha-D-glucopyranosyl]-sn-glycerol""]",C17H26O15R2,"""""","""""",*C(=O)OC[C@H](CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)OC(*)=O,"[[2, 2], [3, 3], [23, 23], [28, 28], [33, 33], [36, 36], [41, 41], [48, 48], [49, 49], [49, 49]]","[""R10865""]",[],"[""254741369""]","""""",0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,17,0,15,0,0,0,470.378
7441,C20907,"[""Chondroitin 4,6-sulfate"", ""Chondroitin sulfate E""]",(C14H21NO17S2)n,"""""","""""",*O[C@@H]1O[C@H](COS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](*)[C@H](O)[C@H]2O)[C@H]1NC(C)=O,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[""R10869""]",[],"[""254741370""]","""""",1,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,14,0,17,0,0,1,269.729
