,Pairs,source,target,Reaction,RPAIR_main
2436,C00004_C00067,C00067,C00004,R00604,2
2437,C00067_C00080,C00067,C00080,R00604,2
2438,C00003_C00058,C00003,C00058,R00604,2
2439,C00003_C00004,C00003,C00004,R00604,1
2440,C00003_C00080,C00003,C00080,R00604,2
2441,C00001_C00058,C00001,C00058,R00604,0
2442,C00001_C00004,C00001,C00004,R00604,2
2443,C00001_C00080,C00001,C00080,R00604,2
2444,C00067_C00132,C00132,C00067,R00605,1
2445,C00004_C00132,C00132,C00004,R00605,2
2446,C00080_C00132,C00132,C00080,R00605,2
2447,C00003_C00067,C00003,C00067,R00605,2
2448,C00003_C00004,C00003,C00004,R00605,1
2449,C00003_C00080,C00003,C00080,R00605,2
2450,C00067_C00132,C00132,C00067,R00608,1
2451,C00027_C00132,C00132,C00027,R00608,2
2452,C00007_C00067,C00007,C00067,R00608,0
2453,C00007_C00027,C00007,C00027,R00608,1
2454,C00025_C01046,C01046,C00025,R00609,1
2455,C00067_C01046,C01046,C00067,R00609,1
2456,C00030_C01046,C01046,C00030,R00609,2
2457,C00025_C00028,C00028,C00025,R00609,2
2458,C00028_C00067,C00028,C00067,R00609,2
2459,C00028_C00030,C00028,C00030,R00609,2
2460,C00001_C00025,C00001,C00025,R00609,0
2461,C00001_C00067,C00001,C00067,R00609,0
2462,C00001_C00030,C00001,C00030,R00609,2
2463,C00037_C00213,C00213,C00037,R00610,1
2464,C00067_C00213,C00213,C00067,R00610,1
2465,C00027_C00213,C00213,C00027,R00610,2
2466,C00001_C00037,C00001,C00037,R00610,0
2467,C00001_C00067,C00001,C00067,R00610,0
2468,C00001_C00027,C00001,C00027,R00610,0
2469,C00007_C00037,C00007,C00037,R00610,2
2470,C00007_C00067,C00007,C00067,R00610,0
2471,C00007_C00027,C00007,C00027,R00610,1
2472,C00037_C00213,C00213,C00037,R00611,1
2473,C00067_C00213,C00213,C00067,R00611,1
2474,C00213_C04570,C00213,C04570,R00611,2
2475,C00037_C04253,C04253,C00037,R00611,2
2476,C00067_C04253,C04253,C00067,R00611,2
2477,C04253_C04570,C04253,C04570,R00611,2
2478,C00001_C00037,C00001,C00037,R00611,0
2479,C00001_C00067,C00001,C00067,R00611,0
2480,C00001_C04570,C00001,C04570,R00611,2
2481,C00047_C02728,C02728,C00047,R00612,1
2482,C00067_C02728,C02728,C00067,R00612,1
2483,C00027_C02728,C02728,C00027,R00612,2
2484,C00001_C00047,C00001,C00047,R00612,0
2485,C00001_C00067,C00001,C00067,R00612,0
2486,C00001_C00027,C00001,C00027,R00612,0
2487,C00007_C00047,C00007,C00047,R00612,2
2488,C00007_C00067,C00007,C00067,R00612,0
2489,C00007_C00027,C00007,C00027,R00612,1
2490,C00058_C00067,C00067,C00058,R00614,1
2491,C00067_C00132,C00067,C00132,R00614,1
2492,C00001_C00058,C00001,C00058,R00614,0
2493,C00001_C00132,C00001,C00132,R00614,0
2494,C00068_C01081,C00068,C01081,R00615,1
2495,C00009_C00068,C00068,C00009,R00615,0
2496,C00001_C01081,C00001,C01081,R00615,2
2497,C00001_C00009,C00001,C00009,R00615,0
2498,C00002_C00008,C00002,C00008,R00616,1
2499,C00002_C03028,C00002,C03028,R00616,0
2500,C00008_C00068,C00068,C00008,R00616,2
2501,C00068_C03028,C00068,C03028,R00616,1
2502,C00002_C00008,C00002,C00008,R00617,1
2503,C00002_C00068,C00002,C00068,R00617,0
2504,C00008_C01081,C01081,C00008,R00617,2
2505,C00068_C01081,C01081,C00068,R00617,1
2506,C00068_C03028,C03028,C00068,R00618,1
2507,C00009_C03028,C03028,C00009,R00618,0
2508,C00001_C00068,C00001,C00068,R00618,2
2509,C00001_C00009,C00001,C00009,R00618,0
2510,C00002_C00020,C00002,C00020,R00619,1
2511,C00002_C00068,C00002,C00068,R00619,0
2512,C00020_C00378,C00378,C00020,R00619,2
2513,C00068_C00378,C00378,C00068,R00619,2
2514,C00026_C05381,C00026,C05381,R00621,1
