Entry,Name,Formula,Exact mass,Mol weight,Structure Url,Canonical SMILES,AddHs SMILES,Reaction Number,Pathway Number,Module Number,Enzyme Class Number,PubChem Id,ChEBI Id,Reference,Family
C00881,Deoxycytidine,,,,,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,,4,,,,4137,"[""15698""]","""""",Quadruple
C00459,dTTP,,,,,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,,8,,,,3743,"[""18077""]","""""",Quadruple
C00363,dTDP,,,,,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,,69,,,,3654,"[""18075""]","""""",Quadruple
C00364,dTMP,,,,,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,,9,,,,3655,"[""17013""]","""""",Quadruple
C00214,Deoxythymidine,,,,,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,,6,,,,3514,"[""17748""]","""""",Quadruple
C00460,dUTP,,,,,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,,8,,,,3744,"[""17625""]","""""",Quadruple
C01346,dUDP,,,,,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,,6,,,,4551,"[""28850""]","""""",Quadruple
C00365,dUMP,,,,,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,,8,,,,3656,"[""17622""]","""""",Quadruple
C00526,Deoxyuridine,,,,,O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,,6,,,,3809,"[""16450""]","""""",Quadruple
C00081,ITP,,,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,,19,,,,3381,"[""16039""]","""""",Quadruple
C00104,IDP,,,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,,18,,,,3404,"[""17808""]","""""",Quadruple
C00130,IMP,,,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,,12,,,,3430,"[""17202""]","""""",Quadruple
C00294,Inosine,,,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,8,,,,3588,"[""17596""]","""""",Quadruple
C01345,dITP,,,,,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,,2,,,,4550,"[""28807""]","""""",Quadruple
